source,periodType,date,instrument,period,price
GFI,monthly,2023-07-24,TD20,2023-11-01,99.0
GFI,monthly,2023-07-24,TD7,2023-11-01,145.0
GFI,monthly,2023-07-24,TD8,2023-11-01,160.0
GFI,monthly,2023-07-24,TD25,2023-11-01,164.5
GFI,monthly,2023-07-24,TD22,2023-11-01,9.2
GFI,monthly,2023-07-24,TD19,2023-11-01,150.0
GFI,quarterly,2023-07-24,TD3C,2023-07-01,53.33
GFI,quarterly,2023-07-24,TD20,2023-07-01,88.82
GFI,quarterly,2023-07-24,TD7,2023-07-01,131.17
GFI,quarterly,2023-07-24,TD8,2023-07-01,161.0
GFI,quarterly,2023-07-24,TD25,2023-07-01,151.73
GFI,quarterly,2023-07-24,TD22,2023-07-01,7.93
GFI,quarterly,2023-07-24,TD19,2023-07-01,128.0
GFI,quarterly,2023-07-24,TD3C,2023-10-01,61.75
GFI,quarterly,2023-07-24,TD20,2023-10-01,99.0
GFI,quarterly,2023-07-24,TD7,2023-10-01,145.0
GFI,quarterly,2023-07-24,TD8,2023-10-01,160.0
GFI,quarterly,2023-07-24,TD25,2023-10-01,164.5
GFI,quarterly,2023-07-24,TD22,2023-10-01,9.25
GFI,quarterly,2023-07-24,TD19,2023-10-01,151.67
GFI,quarterly,2023-07-24,TD3C,2024-01-01,13.5
GFI,quarterly,2023-07-24,TD20,2024-01-01,17.15
GFI,quarterly,2023-07-24,TD7,2024-01-01,10.7
GFI,quarterly,2023-07-24,TD8,2024-01-01,23.0
GFI,quarterly,2023-07-24,TD25,2024-01-01,36.15
GFI,quarterly,2023-07-24,TD22,2024-01-01,31.11
GFI,quarterly,2023-07-24,TD19,2024-01-01,16.5
GFI,yearly,2023-07-24,TD3C,2024-01-01,13.0
GFI,yearly,2023-07-24,TD20,2024-01-01,14.9
GFI,yearly,2023-07-24,TD7,2024-01-01,10.5
GFI,yearly,2023-07-24,TD8,2024-01-01,22.0
GFI,yearly,2023-07-24,TD25,2024-01-01,32.0
GFI,yearly,2023-07-24,TD22,2024-01-01,29.91
GFI,yearly,2023-07-24,TD19,2024-01-01,15.5
GFI,yearly,2023-07-24,TD3C,2025-01-01,12.35
GFI,yearly,2023-07-24,TD20,2025-01-01,14.35
GFI,yearly,2023-07-24,TD7,2025-01-01,10.25
GFI,yearly,2023-07-24,TD8,2025-01-01,21.5
GFI,yearly,2023-07-24,TD25,2025-01-01,31.0
GFI,yearly,2023-07-24,TD22,2025-01-01,28.33
GFI,yearly,2023-07-24,TD19,2025-01-01,14.8
GFI,BITR,2023-07-25,TD3C,2023-07-01,50.88
GFI,BITR,2023-07-25,TD20,2023-07-01,78.41
GFI,BITR,2023-07-25,TD7,2023-07-01,132.86
GFI,BITR,2023-07-25,TD8,2023-07-01,158.36
GFI,BITR,2023-07-25,TD25,2023-07-01,136.25
GFI,BITR,2023-07-25,TD22,2023-07-01,8172222.0
GFI,BITR,2023-07-25,TD19,2023-07-01,120.28
GFI,MTD,2023-07-25,TD3C,2023-07-01,53.17
GFI,MTD,2023-07-25,TD20,2023-07-01,89.47
GFI,MTD,2023-07-25,TD7,2023-07-01,132.65
GFI,MTD,2023-07-25,TD8,2023-07-01,167.12
GFI,MTD,2023-07-25,TD25,2023-07-01,157.8
GFI,MTD,2023-07-25,TD22,2023-07-01,7841707.47
GFI,MTD,2023-07-25,TD19,2023-07-01,125.47
GFI,monthly,2023-07-25,TD3C,2023-07-01,52.75
GFI,monthly,2023-07-25,TD20,2023-07-01,87.09
GFI,monthly,2023-07-25,TD7,2023-07-01,132.5
GFI,monthly,2023-07-25,TD8,2023-07-01,165.0
GFI,monthly,2023-07-25,TD25,2023-07-01,155.0
GFI,monthly,2023-07-25,TD22,2023-07-01,7.9
GFI,monthly,2023-07-25,TD19,2023-07-01,126.0
GFI,monthly,2023-07-25,TD3C,2023-08-01,53.0
GFI,monthly,2023-07-25,TD20,2023-08-01,85.5
GFI,monthly,2023-07-25,TD7,2023-08-01,131.0
GFI,monthly,2023-07-25,TD8,2023-08-01,163.0
GFI,monthly,2023-07-25,TD25,2023-08-01,149.25
GFI,monthly,2023-07-25,TD22,2023-08-01,8.0
GFI,monthly,2023-07-25,TD19,2023-08-01,128.0
GFI,monthly,2023-07-25,TD3C,2023-09-01,55.75
GFI,monthly,2023-07-25,TD20,2023-09-01,90.5
GFI,monthly,2023-07-25,TD7,2023-09-01,130.0
GFI,monthly,2023-07-25,TD8,2023-09-01,155.0
GFI,monthly,2023-07-25,TD25,2023-09-01,152.0
GFI,monthly,2023-07-25,TD22,2023-09-01,8.4
GFI,monthly,2023-07-25,TD19,2023-09-01,130.0
GFI,monthly,2023-07-25,TD3C,2023-10-01,57.25
GFI,monthly,2023-07-25,TD20,2023-10-01,96.25
GFI,monthly,2023-07-25,TD7,2023-10-01,135.0
GFI,monthly,2023-07-25,TD8,2023-10-01,155.0
GFI,monthly,2023-07-25,TD25,2023-10-01,159.0
GFI,monthly,2023-07-25,TD22,2023-10-01,8.55
GFI,monthly,2023-07-25,TD19,2023-10-01,140.0
GFI,monthly,2023-07-25,TD3C,2023-11-01,62.25
GFI,monthly,2023-07-25,TD20,2023-11-01,100.0
GFI,monthly,2023-07-25,TD7,2023-11-01,145.0
GFI,monthly,2023-07-25,TD8,2023-11-01,160.0
GFI,monthly,2023-07-25,TD25,2023-11-01,165.0
GFI,monthly,2023-07-25,TD22,2023-11-01,9.3
GFI,monthly,2023-07-25,TD19,2023-11-01,150.0
GFI,quarterly,2023-07-25,TD3C,2023-07-01,53.83
GFI,quarterly,2023-07-25,TD20,2023-07-01,87.7
GFI,quarterly,2023-07-25,TD7,2023-07-01,131.17
GFI,quarterly,2023-07-25,TD8,2023-07-01,161.0
GFI,quarterly,2023-07-25,TD25,2023-07-01,152.08
GFI,quarterly,2023-07-25,TD22,2023-07-01,8.1
GFI,quarterly,2023-07-25,TD19,2023-07-01,128.0
GFI,quarterly,2023-07-25,TD3C,2023-10-01,62.25
GFI,quarterly,2023-07-25,TD20,2023-10-01,100.25
GFI,quarterly,2023-07-25,TD7,2023-10-01,145.0
GFI,quarterly,2023-07-25,TD8,2023-10-01,160.0
GFI,quarterly,2023-07-25,TD25,2023-10-01,165.0
GFI,quarterly,2023-07-25,TD22,2023-10-01,9.32
GFI,quarterly,2023-07-25,TD19,2023-10-01,151.67
GFI,quarterly,2023-07-25,TD3C,2024-01-01,13.65
GFI,quarterly,2023-07-25,TD20,2024-01-01,17.35
GFI,quarterly,2023-07-25,TD7,2024-01-01,10.7
GFI,quarterly,2023-07-25,TD8,2024-01-01,23.0
GFI,quarterly,2023-07-25,TD25,2024-01-01,36.15
GFI,quarterly,2023-07-25,TD22,2024-01-01,31.11
GFI,quarterly,2023-07-25,TD19,2024-01-01,16.5
GFI,yearly,2023-07-25,TD3C,2024-01-01,13.2
GFI,yearly,2023-07-25,TD20,2024-01-01,15.15
GFI,yearly,2023-07-25,TD7,2024-01-01,10.5
GFI,yearly,2023-07-25,TD8,2024-01-01,22.0
GFI,yearly,2023-07-25,TD25,2024-01-01,32.0
GFI,yearly,2023-07-25,TD22,2024-01-01,30.05
GFI,yearly,2023-07-25,TD19,2024-01-01,15.5
GFI,yearly,2023-07-25,TD3C,2025-01-01,12.4
GFI,yearly,2023-07-25,TD20,2025-01-01,14.4
GFI,yearly,2023-07-25,TD7,2025-01-01,10.25
GFI,yearly,2023-07-25,TD8,2025-01-01,21.5
GFI,yearly,2023-07-25,TD25,2025-01-01,31.0
GFI,yearly,2023-07-25,TD22,2025-01-01,28.33
GFI,yearly,2023-07-25,TD19,2025-01-01,14.8
GFI,BITR,2023-07-26,TD3C,2023-07-01,51.0
GFI,BITR,2023-07-26,TD20,2023-07-01,75.0
GFI,BITR,2023-07-26,TD7,2023-07-01,129.64
GFI,BITR,2023-07-26,TD8,2023-07-01,159.86
GFI,BITR,2023-07-26,TD25,2023-07-01,132.19
GFI,BITR,2023-07-26,TD22,2023-07-01,8211667.0
GFI,BITR,2023-07-26,TD19,2023-07-01,111.67
GFI,MTD,2023-07-26,TD3C,2023-07-01,53.05
