source,periodType,date,instrument,period,price
GFI,Q,2026-05-11,TD19,2026-07-01,140.00
GFI,Q,2026-05-11,TD3C,2026-10-01,207.00
GFI,Q,2026-05-11,TD20,2026-10-01,14.50
GFI,Q,2026-05-11,TD7,2026-10-01,170.00
GFI,Q,2026-05-11,TD8,2026-10-01,198.33
GFI,Q,2026-05-11,TD25,2026-10-01,137.37
GFI,Q,2026-05-11,TD22,2026-10-01,13.50
GFI,Q,2026-05-11,TD19,2026-10-01,143.33
GFI,Q,2026-05-11,TD3C,2027-01-01,29.25
GFI,Q,2026-05-11,TD20,2027-01-01,82.45
GFI,Q,2026-05-11,TD7,2027-01-01,14.00
GFI,Q,2026-05-11,TD8,2027-01-01,22.50
GFI,Q,2026-05-11,TD25,2027-01-01,48.91
GFI,Q,2026-05-11,TD22,2027-01-01,44.44
GFI,Q,2026-05-11,TD19,2027-01-01,14.75
GFI,A,2026-05-11,TD3C,2027-01-01,21.00
GFI,A,2026-05-11,TD20,2027-01-01,76.80
GFI,A,2026-05-11,TD7,2027-01-01,13.45
GFI,A,2026-05-11,TD8,2027-01-01,20.82
GFI,A,2026-05-11,TD25,2027-01-01,25.47
GFI,A,2026-05-11,TD22,2027-01-01,37.96
GFI,A,2026-05-11,TD19,2027-01-01,14.00
GFI,A,2026-05-11,TD3C,2028-01-01,16.50
GFI,A,2026-05-11,TD20,2028-01-01,66.61
GFI,A,2026-05-11,TD7,2028-01-01,12.70
GFI,A,2026-05-11,TD8,2028-01-01,20.25
GFI,A,2026-05-11,TD25,2028-01-01,23.23
GFI,A,2026-05-11,TD22,2028-01-01,27.22
GFI,A,2026-05-11,TD19,2028-01-01,13.55
GFI,BITR,2026-05-12,TD3C,2026-05-01,450.63
GFI,BITR,2026-05-12,TD20,2026-05-01,193.06
GFI,BITR,2026-05-12,TD7,2026-05-01,193.75
GFI,BITR,2026-05-12,TD8,2026-05-01,414.29
GFI,BITR,2026-05-12,TD25,2026-05-01,240.00
GFI,BITR,2026-05-12,TD22,2026-05-01,17847222.00
GFI,BITR,2026-05-12,TD19,2026-05-01,198.89
GFI,MTD,2026-05-12,TD3C,2026-05-01,450.36
GFI,MTD,2026-05-12,TD20,2026-05-01,194.49
GFI,MTD,2026-05-12,TD7,2026-05-01,211.61
GFI,MTD,2026-05-12,TD8,2026-05-01,421.58
GFI,MTD,2026-05-12,TD25,2026-05-01,324.88
GFI,MTD,2026-05-12,TD22,2026-05-01,16906317.43
GFI,MTD,2026-05-12,TD19,2026-05-01,254.53
GFI,M,2026-05-12,TD3C,2026-05-01,450.00
GFI,M,2026-05-12,TD20,2026-05-01,15.59
GFI,M,2026-05-12,TD7,2026-05-01,200.00
GFI,M,2026-05-12,TD8,2026-05-01,380.00
GFI,M,2026-05-12,TD25,2026-05-01,145.55
GFI,M,2026-05-12,TD22,2026-05-01,17.00
GFI,M,2026-05-12,TD19,2026-05-01,250.00
GFI,M,2026-05-12,TD3C,2026-06-01,402.50
GFI,M,2026-05-12,TD20,2026-06-01,15.19
GFI,M,2026-05-12,TD7,2026-06-01,190.00
GFI,M,2026-05-12,TD8,2026-06-01,280.00
GFI,M,2026-05-12,TD25,2026-06-01,145.55
GFI,M,2026-05-12,TD22,2026-06-01,15.50
GFI,M,2026-05-12,TD19,2026-06-01,190.00
GFI,M,2026-05-12,TD3C,2026-07-01,328.00
GFI,M,2026-05-12,TD20,2026-07-01,13.40
GFI,M,2026-05-12,TD7,2026-07-01,165.00
GFI,M,2026-05-12,TD8,2026-07-01,202.00
GFI,M,2026-05-12,TD25,2026-07-01,123.86
GFI,M,2026-05-12,TD22,2026-07-01,13.50
GFI,M,2026-05-12,TD19,2026-07-01,150.00
GFI,M,2026-05-12,TD3C,2026-08-01,243.00
GFI,M,2026-05-12,TD20,2026-08-01,13.40
GFI,M,2026-05-12,TD7,2026-08-01,160.00
GFI,M,2026-05-12,TD8,2026-08-01,177.00
GFI,M,2026-05-12,TD25,2026-08-01,123.86
GFI,M,2026-05-12,TD22,2026-08-01,12.75
GFI,M,2026-05-12,TD19,2026-08-01,135.00
GFI,M,2026-05-12,TD3C,2026-09-01,185.00
GFI,M,2026-05-12,TD20,2026-09-01,
GFI,M,2026-05-12,TD7,2026-09-01,155.00
GFI,M,2026-05-12,TD8,2026-09-01,177.00
GFI,M,2026-05-12,TD25,2026-09-01,
GFI,M,2026-05-12,TD22,2026-09-01,12.00
GFI,M,2026-05-12,TD19,2026-09-01,135.00
GFI,Q,2026-05-12,TD3C,2026-07-01,252.00
GFI,Q,2026-05-12,TD20,2026-07-01,13.40
GFI,Q,2026-05-12,TD7,2026-07-01,160.00
GFI,Q,2026-05-12,TD8,2026-07-01,185.33
GFI,Q,2026-05-12,TD25,2026-07-01,123.86
GFI,Q,2026-05-12,TD22,2026-07-01,12.75
GFI,Q,2026-05-12,TD19,2026-07-01,140.00
GFI,Q,2026-05-12,TD3C,2026-10-01,206.00
